partner_id,week_number,week_start_date,logins,referrals,earnings,unresolved_tickets,ticket_sentiment,join_date,region,partner_type,priority,behavior,days_since_last_outreach,payout_delay_days,commission_dispute_count,competitor_mention_flag,churn_driver,recommended_action
P0001,1,01-07-2025,11,131,308,0,,27-09-2024,LATAM,API User,Silver,churning,22,0,0,0,Performance Decline,Marketing assistance + performance review
P0001,2,08-07-2025,6,97,596,1,,27-09-2024,LATAM,API User,Silver,at_risk,22,0,0,0,Low Engagement,Re-engagement email + training invite
P0001,3,15-07-2025,16,98,540,0,,27-09-2024,LATAM,API User,Silver,churning,15,0,0,0,Performance Decline,Marketing assistance + performance review
P0001,4,22-07-2025,23,117,1245,0,,27-09-2024,LATAM,API User,Silver,healthy,9,0,0,0,Performance Decline,Marketing assistance + performance review
P0001,5,29-07-2025,22,141,454,4,,27-09-2024,LATAM,API User,Silver,at_risk,20,0,0,0,Support Friction,Fast-track tickets + senior support follow-up
P0001,6,05-08-2025,19,17,379,0,,27-09-2024,LATAM,API User,Silver,at_risk,6,2,0,0,Performance Decline,Marketing assistance + performance review
P0001,7,12-08-2025,14,13,853,0,,27-09-2024,LATAM,API User,Silver,at_risk,16,5,0,0,Support Friction,Fast-track tickets + senior support follow-up
P0001,8,19-08-2025,12,49,558,1,,27-09-2024,LATAM,API User,Silver,healthy,9,0,0,0,Low Engagement,Re-engagement email + training invite
P0001,9,26-08-2025,19,54,444,0,,27-09-2024,LATAM,API User,Silver,churning,11,10,0,0,Financial Issues,Escalate to Finance + commission review
P0001,10,02-09-2025,21,145,786,1,,27-09-2024,LATAM,API User,Silver,healthy,28,0,0,0,Low Engagement,Re-engagement email + training invite
P0001,11,09-09-2025,13,81,422,0,,27-09-2024,LATAM,API User,Silver,healthy,3,0,0,0,Performance Decline,Marketing assistance + performance review
P0001,12,16-09-2025,12,44,971,0,,27-09-2024,LATAM,API User,Silver,churning,14,0,0,0,Competitive Risk,Offer retention incentive + feature comparison
P0001,13,23-09-2025,13,24,1158,0,,27-09-2024,LATAM,API User,Silver,healthy,20,0,0,0,Low Engagement,Re-engagement email + training invite
P0001,14,30-09-2025,8,38,383,0,,27-09-2024,LATAM,API User,Silver,at_risk,10,0,0,0,Low Engagement,Re-engagement email + training invite
P0001,15,07-10-2025,29,143,844,0,,27-09-2024,LATAM,API User,Silver,churning,28,0,0,0,Competitive Risk,Offer retention incentive + feature comparison
P0001,16,14-10-2025,11,138,760,0,,27-09-2024,LATAM,API User,Silver,churning,9,0,0,0,Support Friction,Fast-track tickets + senior support follow-up
P0001,17,21-10-2025,9,60,605,0,,27-09-2024,LATAM,API User,Silver,healthy,20,0,0,0,Low Engagement,Re-engagement email + training invite
P0001,18,28-10-2025,21,61,400,0,,27-09-2024,LATAM,API User,Silver,healthy,27,0,0,0,Performance Decline,Marketing assistance + performance review
P0001,19,04-11-2025,6,139,400,0,,27-09-2024,LATAM,API User,Silver,at_risk,2,0,0,0,Low Engagement,Re-engagement email + training invite
P0001,20,11-11-2025,16,77,340,0,,27-09-2024,LATAM,API User,Silver,healthy,20,0,0,0,Performance Decline,Marketing assistance + performance review
P0001,21,18-11-2025,10,148,897,1,,27-09-2024,LATAM,API User,Silver,healthy,3,0,0,0,Performance Decline,Marketing assistance + performance review
P0001,22,25-11-2025,8,99,947,0,,27-09-2024,LATAM,API User,Silver,healthy,1,0,0,0,Low Engagement,Re-engagement email + training invite
P0001,23,02-12-2025,11,91,1223,1,,27-09-2024,LATAM,API User,Silver,at_risk,3,0,0,0,Support Friction,Fast-track tickets + senior support follow-up
P0001,24,09-12-2025,20,99,550,5,,27-09-2024,LATAM,API User,Silver,at_risk,12,0,0,1,Competitive Risk,Offer retention incentive + feature comparison
P0001,25,16-12-2025,9,18,740,0,,27-09-2024,LATAM,API User,Silver,healthy,22,0,0,0,Low Engagement,Re-engagement email + training invite
P0001,26,23-12-2025,5,125,407,0,,27-09-2024,LATAM,API User,Silver,churning,16,0,0,0,Low Engagement,Re-engagement email + training invite
P0001,27,30-12-2025,29,108,797,5,,27-09-2024,LATAM,API User,Silver,churning,16,0,0,0,Support Friction,Fast-track tickets + senior support follow-up
P0001,28,06-01-2026,13,77,1244,0,,27-09-2024,LATAM,API User,Silver,healthy,1,0,0,0,Relationship Neglect,Immediate account manager outreach
P0001,29,13-01-2026,16,124,975,0,,27-09-2024,LATAM,API User,Silver,churning,22,0,0,1,Competitive Risk,Offer retention incentive + feature comparison
P0001,30,20-01-2026,6,30,1063,0,,27-09-2024,LATAM,API User,Silver,healthy,29,0,0,0,Low Engagement,Re-engagement email + training invite
P0002,1,01-07-2025,18,126,0,2,,04-02-2024,North America,Introducer,Bronze,at_risk,21,0,1,0,Financial Issues,Escalate to Finance + commission review
P0002,2,08-07-2025,7,125,222,0,,04-02-2024,North America,Introducer,Bronze,healthy,18,0,0,0,Low Engagement,Re-engagement email + training invite
P0002,3,15-07-2025,14,63,408,0,,04-02-2024,North America,Introducer,Bronze,churning,2,0,0,0,Support Friction,Fast-track tickets + senior support follow-up
P0002,4,22-07-2025,14,139,254,0,,04-02-2024,North America,Introducer,Bronze,healthy,10,1,0,0,Performance Decline,Marketing assistance + performance review
P0002,5,29-07-2025,7,59,374,2,,04-02-2024,North America,Introducer,Bronze,healthy,13,2,0,0,Low Engagement,Re-engagement email + training invite
P0002,6,05-08-2025,5,17,0,1,,04-02-2024,North America,Introducer,Bronze,at_risk,2,0,0,0,Low Engagement,Re-engagement email + training invite
P0002,7,12-08-2025,27,95,415,0,,04-02-2024,North America,Introducer,Bronze,at_risk,22,0,2,0,Financial Issues,Escalate to Finance + commission review
P0002,8,19-08-2025,24,79,0,0,,04-02-2024,North America,Introducer,Bronze,healthy,7,0,0,0,Performance Decline,Marketing assistance + performance review
P0002,9,26-08-2025,10,118,0,0,,04-02-2024,North America,Introducer,Bronze,healthy,18,0,0,0,Performance Decline,Marketing assistance + performance review
P0002,10,02-09-2025,14,129,251,0,,04-02-2024,North America,Introducer,Bronze,healthy,23,0,0,0,Performance Decline,Marketing assistance + performance review
P0002,11,09-09-2025,13,149,0,0,,04-02-2024,North America,Introducer,Bronze,at_risk,22,0,0,0,Performance Decline,Marketing assistance + performance review
P0002,12,16-09-2025,29,126,175,0,,04-02-2024,North America,Introducer,Bronze,healthy,23,0,0,0,Performance Decline,Marketing assistance + performance review
P0002,13,23-09-2025,16,95,578,0,,04-02-2024,North America,Introducer,Bronze,at_risk,20,0,0,0,Support Friction,Fast-track tickets + senior support follow-up
P0002,14,30-09-2025,16,94,68,0,,04-02-2024,North America,Introducer,Bronze,at_risk,22,0,0,0,Performance Decline,Marketing assistance + performance review
